sjoid,lake,file,expectedKey
642035-131965,"Baståsasjön",3-6617_Baståsasjön_642035-131965.tif,svar/zips/Bast_sasj_n/642035-131965-kartor/web/tiles-3-6617_Bastasasjon_642035-131965.dzi
633379-150071,"Avesjö",3-6162_Avesjö_633379-150071g.tif,svar/zips/Avesj_/633379-150071-kartor/web/tiles-3-6162_Avesjo_633379-150071g.dzi
633992-152030,"Bergakyllen",3-3809_Bergakyllen_633992-152030b.tif,svar/zips/Bergakyllen/633992-152030-kartor/web/tiles-3-3809_Bergakyllen_633992-152030b.dzi
655674-131007,"Berganesjön",3-6769_Berganesjön_655674-131007.tif,svar/zips/Berganesj_n/655674-131007-kartor/web/tiles-3-6769_Berganesjon_655674-131007.dzi
650460-142624,"Bergsjön",3-6338_Bergsjön_650460-142624.jpg,svar/zips/Bergsj_n/650460-142624-kartor/web/tiles-3-6338_Bergsjon_650460-142624.dzi
634083-153016,"Berkegöl",3-3107_Berkegöl_634083-153016.tif,svar/zips/Berkeg_l/634083-153016-kartor/web/tiles-3-3107_Berkegol_634083-153016.dzi
653646-130842,"Bergtjärnet",3-4789_Bergtjärnet_653646-130842.tif,svar/zips/Bergtj_rnet/653646-130842-kartor/web/tiles-3-4789_Bergtjarnet_653646-130842.dzi
647101-130255,"Bergsjön",3-1715_Bergsjön_647101-130255.tif,svar/zips/Bergsj_n/647101-130255-kartor/web/tiles-3-1715_Bergsjon_647101-130255.dzi
647402-125700,"Bergs Vatten",3-3526_Bergs vatten_647402-125700.tif,svar/zips/Bergs_Vatten/647402-125700-kartor/web/tiles-3-3526_Bergs_vatten_647402-125700.dzi
648749-127464,"Betvattnet",3-3464_Betvattnet_648749-127464.tif,svar/zips/Betvattnet/648749-127464-kartor/web/tiles-3-3464_Betvattnet_648749-127464.dzi
633458-138475,"Bestorpasjön",3-6353_Bestorpasjön_633458-138475.jpg,svar/zips/Bestorpasj_n/633458-138475-kartor/web/tiles-3-6353_Bestorpasjon_633458-138475.dzi
